Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.72,-2.78,75.5%,1226,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
찬란한 쇼진의 창,A,4.21,-0.29,15.3%,19630,0.7%,나미 | 카르마 | 제드 | 카이사 | 사미라
찬란한 이온 충격기,A,4.21,-0.29,12.6%,6043,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 밤의 끝자락,A,4.23,-0.27,12.8%,12305,0.4%,마스터 이 | 아칼리 | 피오라 | 리븐 | 제드
찬란한 도적의 장갑,A,4.24,-0.26,13.5%,41950,1.5%,블리츠크랭크 | 피오라 | 리븐 | 쉔 | 라아스트
찬란한 공허의 지팡이,A,4.25,-0.25,13.0%,16593,0.6%,아우렐리온 솔 | 벡스 | 나미 | 카르마 | 빅토르
찬란한 정의의 손길,A,4.27,-0.23,12.3%,14294,0.5%,아칼리 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 대천사의 지팡이,A,4.27,-0.23,12.0%,12877,0.5%,빅토르 | 아우렐리온 솔 | 벡스 | 르블랑 | 나미
찬란한 모렐로노미콘,A,4.29,-0.21,12.9%,5043,0.2%,카르마 | 나미 | 바드 | 아우렐리온 솔 | 벡스
찬란한 스테락의 도전,B,4.33,-0.17,15.3%,11887,0.4%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 태양불꽃 망토,B,4.33,-0.17,11.4%,26455,1.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 거인의 결의,B,4.34,-0.16,13.5%,11892,0.4%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 벨베스
찬란한 푸른 파수꾼,B,4.35,-0.15,12.5%,7828,0.3%,카이사 | 코르키 | 나미 | 카르마 | 베이가
찬란한 수호자의 맹세,B,4.36,-0.14,12.8%,15246,0.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 수은,B,4.37,-0.13,10.7%,8767,0.3%,벨베스 | 그레이브즈 | 마스터 이 | 피오라 | 리븐
찬란한 워모그의 갑옷,B,4.38,-0.12,12.0%,18802,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 거대 메크 로봇 | 오른
찬란한 피바라기,C,4.40,-0.10,12.4%,14887,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 저녁갑주,C,4.41,-0.09,12.3%,6101,0.2%,누누와 윌럼프 | 오른 | 람머스 | 탐 켄치 | 마오카이
찬란한 구인수의 격노검,C,4.43,-0.07,13.5%,49823,1.8%,벡스 | 자야 | 르블랑 | 킨드레드 | 진
찬란한 정령의 형상,C,4.44,-0.06,11.2%,20776,0.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
찬란한 굳건한 심장,C,4.46,-0.04,11.0%,8807,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 크라운가드,C,4.47,-0.03,10.7%,6223,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 일라오이
찬란한 용의 발톱,D,4.52,+0.02,10.2%,14601,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.55,+0.05,10.1%,8214,0.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 일라오이
찬란한 덤불 조끼,D,4.60,+0.10,8.7%,7586,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
