Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.73,-2.77,73.7%,209,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 블리츠크랭크 | 누누와 윌럼프
찬란한 모렐로노미콘,A,4.21,-0.29,11.8%,1287,0.3%,카르마 | 바드 | 나미 | 아우렐리온 솔 | 빅토르
찬란한 대천사의 지팡이,A,4.23,-0.27,12.1%,2997,0.6%,빅토르 | 아우렐리온 솔 | 르블랑 | 카르마 | 나미
찬란한 공허의 지팡이,A,4.23,-0.27,13.1%,3904,0.8%,아우렐리온 솔 | 카르마 | 나미 | 벡스 | 르블랑
찬란한 스테락의 도전,A,4.24,-0.26,15.6%,3594,0.7%,거대 메크 로봇 | 피오라 | 리븐 | 마스터 이 | 그레이브즈
찬란한 쇼진의 창,A,4.25,-0.25,14.1%,3231,0.6%,나미 | 카르마 | 카이사 | 코르키 | 사미라
찬란한 마법공학 총검,A,4.26,-0.24,13.2%,2562,0.5%,르블랑 | 벡스 | 아우렐리온 솔 | 티모 | 카르마
찬란한 도적의 장갑,A,4.26,-0.24,13.1%,7560,1.5%,블리츠크랭크 | 라아스트 | 피오라 | 쉔 | 리븐
찬란한 무한의 대검,A,4.27,-0.23,14.9%,3376,0.7%,진 | 카이사 | 코르키 | 킨드레드 | 미스 포츈
찬란한 거인의 결의,A,4.28,-0.22,14.6%,2866,0.6%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 다이애나
찬란한 밤의 끝자락,B,4.34,-0.16,13.0%,2146,0.4%,마스터 이 | 피오라 | 아칼리 | 리븐 | 파이크
찬란한 태양불꽃 망토,B,4.35,-0.15,11.1%,4633,0.9%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 일라오이
찬란한 정의의 손길,B,4.39,-0.11,12.0%,2476,0.5%,피즈 | 아칼리 | 피오라 | 리븐 | 마스터 이
찬란한 푸른 파수꾼,B,4.40,-0.10,12.0%,1358,0.3%,카이사 | 코르키 | 카르마 | 나미 | 미스 포츈
찬란한 수호자의 맹세,C,4.41,-0.09,11.3%,2662,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 잭스 | 탐 켄치
찬란한 워모그의 갑옷,C,4.44,-0.06,11.5%,3035,0.6%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 마오카이
찬란한 구인수의 격노검,C,4.45,-0.05,13.0%,8920,1.7%,킨드레드 | 르블랑 | 벡스 | 진 | 자야
찬란한 저녁갑주,C,4.45,-0.05,12.6%,879,0.2%,오른 | 람머스 | 누누와 윌럼프 | 탐 켄치 | 마오카이
찬란한 피바라기,C,4.46,-0.04,12.5%,2801,0.5%,리븐 | 피오라 | 마스터 이 | 다이애나 | 우르곳
찬란한 정령의 형상,C,4.49,-0.01,9.9%,3705,0.7%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 일라오이
찬란한 수은,D,4.50,+0.00,10.8%,1422,0.3%,벨베스 | 마스터 이 | 그레이브즈 | 피오라 | 리븐
찬란한 굳건한 심장,D,4.53,+0.03,11.6%,1685,0.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 오른 | 일라오이
찬란한 용의 발톱,D,4.56,+0.06,9.7%,2756,0.5%,누누와 윌럼프 | 람머스 | 오른 | 일라오이 | 탐 켄치
찬란한 적응형 투구,D,4.58,+0.08,9.7%,1719,0.3%,카르마 | 누누와 윌럼프 | 바드 | 나미 | 람머스
찬란한 크라운가드,D,4.60,+0.10,9.5%,1156,0.2%,람머스 | 일라오이 | 누누와 윌럼프 | 잭스 | 탐 켄치
찬란한 덤불 조끼,D,4.62,+0.12,9.2%,1266,0.2%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
