Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.75,-2.75,73.2%,228,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 피오라
찬란한 태양불꽃 망토,B,4.34,-0.16,11.1%,5161,1.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 거인의 결의,B,4.36,-0.14,13.0%,2468,0.5%,거대 메크 로봇 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
찬란한 푸른 파수꾼,B,4.38,-0.12,13.4%,1478,0.3%,카이사 | 코르키 | 나미 | 카르마 | 아우렐리온 솔
찬란한 워모그의 갑옷,B,4.39,-0.11,11.3%,3457,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 거대 메크 로봇 | 탐 켄치
찬란한 구인수의 격노검,B,4.39,-0.11,13.6%,9721,1.8%,벡스 | 르블랑 | 킨드레드 | 자야 | 그레이브즈
찬란한 수호자의 맹세,B,4.40,-0.10,11.4%,2855,0.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 일라오이
찬란한 피바라기,C,4.42,-0.08,12.0%,2920,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 저녁갑주,C,4.44,-0.06,11.0%,1142,0.2%,오른 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이
찬란한 적응형 투구,C,4.45,-0.05,11.6%,1606,0.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 잭스
찬란한 크라운가드,C,4.46,-0.04,11.6%,1202,0.2%,람머스 | 누누와 윌럼프 | 잭스 | 탐 켄치 | 오른
찬란한 굳건한 심장,C,4.46,-0.04,10.5%,1652,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 정령의 형상,C,4.48,-0.02,10.6%,3950,0.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 거대 메크 로봇
찬란한 용의 발톱,D,4.53,+0.03,10.2%,2865,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 덤불 조끼,D,4.59,+0.09,8.7%,1419,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
