Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.35,13.9%,3026205,44.0%,우르곳 | 벡스 | 벨베스 | 진 | 자야
마법공학 총검,B,4.10,-0.14,15.0%,1066508,15.5%,벡스 | 티모 | 르블랑 | 진 | 탈론
죽음의 검,B,4.10,-0.14,15.7%,1066328,15.5%,진 | 자야 | 코르키 | 케이틀린 | 킨드레드
저녁갑주,B,4.22,-0.14,15.6%,1200224,17.4%,누누와 윌럼프 | 람머스 | 마오카이 | 오른 | 탐 켄치
스테락의 도전,B,4.14,-0.13,15.9%,1062492,15.4%,거대 메크 로봇 | 피오라 | 브라이어 | 리븐 | 그레이브즈
붉은 덩굴정령,B,3.96,-0.12,17.2%,806989,11.7%,자야 | 진 | 카르마 | 나미 | 벡스
대천사의 지팡이,B,4.17,-0.12,13.4%,1001493,14.5%,빅토르 | 아우렐리온 솔 | 오로라 | 카르마 | 나미
모렐로노미콘,B,3.95,-0.12,16.3%,777573,11.3%,카르마 | 바드 | 나미 | 오로라 | 리산드라
최후의 속삭임,B,4.08,-0.11,17.1%,856998,12.4%,진 | 자야 | 코르키 | 사미라 | 킨드레드
크라켄의 분노,B,4.27,-0.11,13.5%,1046897,15.2%,자야 | 벨베스 | 킨드레드 | 진 | 케이틀린
이온 충격기,C,4.04,-0.10,14.9%,717013,10.4%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
푸른 파수꾼,C,4.18,-0.09,14.2%,774548,11.3%,카르마 | 나미 | 바드 | 카이사 | 오로라
거인의 결의,C,4.38,-0.08,13.1%,937716,13.6%,리븐 | 거대 메크 로봇 | 브라이어 | 피오라 | 마스터 이
여신의 눈물,C,4.73,-0.01,10.4%,283489,4.1%,바드 | 누누와 윌럼프 | 카르마 | 리산드라 | 블리츠크랭크
음전자 망토,C,4.79,-0.01,10.2%,284855,4.1%,모데카이저 | 라아스트 | 일라오이 | 누누와 윌럼프 | 람머스
쇠사슬 조끼,C,4.80,-0.01,10.2%,284483,4.1%,라아스트 | 누누와 윌럼프 | 모데카이저 | 람머스 | 일라오이
거인의 허리띠,C,4.86,-0.01,10.0%,377774,5.5%,누누와 윌럼프 | 라아스트 | 모데카이저 | 일라오이 | 람머스
쓸데없이 큰 지팡이,C,4.83,-0.01,9.9%,290005,4.2%,바드 | 카르마 | 리산드라 | 블리츠크랭크 | 오로라
연습용 장갑,C,4.81,-0.01,9.8%,251650,3.7%,진 | 카르마 | 블리츠크랭크 | 바드 | 리산드라
곡궁,C,4.85,-0.01,9.9%,304134,4.4%,카르마 | 바드 | 리산드라 | 진 | 자야
B.F. 대검,C,4.93,-0.00,9.4%,278293,4.0%,진 | 파이크 | 아칼리 | 자야 | 나르
프라이팬,D,5.32,+0.00,7.5%,2233,0.0%,라아스트 | 카르마 | 모데카이저 | 리븐 | 나미
뒤집개,D,5.75,+0.22,4.8%,9695,0.1%,리븐 | 카르마 | 리산드라 | 소나 | 바드
