Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.36,13.8%,3281112,44.6%,우르곳 | 벡스 | 벨베스 | 진 | 자야
덤불 조끼,B,3.97,-0.16,15.4%,1171466,15.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
밤의 끝자락,B,4.05,-0.15,15.0%,1136964,15.4%,마스터 이 | 피오라 | 리븐 | 파이크 | 아칼리
내셔의 이빨,B,4.28,-0.15,12.4%,1491316,20.3%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
수은,B,4.20,-0.14,13.4%,1325498,18.0%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 마스터 이
피바라기,B,4.31,-0.14,13.7%,1532821,20.8%,리븐 | 피오라 | 브라이어 | 블리츠크랭크 | 그레이브즈
저녁갑주,B,4.22,-0.14,15.7%,1333548,18.1%,누누와 윌럼프 | 람머스 | 마오카이 | 오른 | 탐 켄치
죽음의 검,B,4.10,-0.14,15.6%,1141780,15.5%,진 | 자야 | 코르키 | 케이틀린 | 우르곳
마법공학 총검,B,4.09,-0.14,14.9%,1120994,15.2%,벡스 | 티모 | 진 | 르블랑 | 탈론
스테락의 도전,B,4.14,-0.13,15.7%,1144374,15.5%,거대 메크 로봇 | 피오라 | 브라이어 | 리븐 | 그레이브즈
붉은 덩굴정령,B,3.95,-0.12,17.3%,854933,11.6%,자야 | 진 | 카르마 | 나미 | 벡스
모렐로노미콘,B,3.95,-0.12,16.3%,835861,11.4%,카르마 | 바드 | 나미 | 오로라 | 리산드라
대천사의 지팡이,B,4.17,-0.12,13.3%,1053910,14.3%,빅토르 | 아우렐리온 솔 | 오로라 | 카르마 | 나미
최후의 속삭임,B,4.07,-0.12,17.1%,917404,12.5%,진 | 자야 | 코르키 | 킨드레드 | 사미라
크라켄의 분노,B,4.27,-0.11,13.4%,1112114,15.1%,자야 | 벨베스 | 킨드레드 | 진 | 케이틀린
이온 충격기,C,4.04,-0.10,15.0%,758770,10.3%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
푸른 파수꾼,C,4.18,-0.09,14.2%,833329,11.3%,카르마 | 오로라 | 카이사 | 나미 | 바드
거인의 결의,C,4.37,-0.09,12.9%,1014411,13.8%,리븐 | 브라이어 | 거대 메크 로봇 | 피오라 | 마스터 이
여신의 눈물,C,4.74,-0.01,10.3%,305183,4.1%,바드 | 누누와 윌럼프 | 카르마 | 리산드라 | 블리츠크랭크
음전자 망토,C,4.80,-0.01,10.1%,305163,4.1%,라아스트 | 모데카이저 | 일라오이 | 누누와 윌럼프 | 람머스
쇠사슬 조끼,C,4.81,-0.01,10.0%,306620,4.2%,라아스트 | 누누와 윌럼프 | 모데카이저 | 일라오이 | 람머스
쓸데없이 큰 지팡이,C,4.82,-0.01,9.9%,313956,4.3%,바드 | 카르마 | 리산드라 | 블리츠크랭크 | 오로라
거인의 허리띠,C,4.87,-0.01,9.9%,407526,5.5%,누누와 윌럼프 | 라아스트 | 일라오이 | 모데카이저 | 람머스
연습용 장갑,C,4.82,-0.01,9.9%,271064,3.7%,진 | 카르마 | 블리츠크랭크 | 바드 | 아칼리
곡궁,C,4.85,-0.01,9.9%,326981,4.4%,카르마 | 진 | 리산드라 | 바드 | 자야
B.F. 대검,C,4.94,-0.00,9.4%,299928,4.1%,진 | 파이크 | 아칼리 | 자야 | 나르
프라이팬,D,5.35,+0.00,7.3%,2437,0.0%,라아스트 | 모데카이저 | 나미 | 카르마 | 리븐
뒤집개,D,5.74,+0.22,4.9%,10388,0.1%,리븐 | 카르마 | 리산드라 | 소나 | 라아스트
