Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.21,-0.36,13.8%,3441963,45.0%,우르곳 | 벡스 | 벨베스 | 진 | 티모
내셔의 이빨,B,4.28,-0.14,12.4%,1534797,20.1%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
밤의 끝자락,B,4.05,-0.14,14.9%,1150217,15.1%,마스터 이 | 피오라 | 리븐 | 파이크 | 아칼리
죽음의 검,B,4.10,-0.14,15.6%,1182181,15.5%,진 | 자야 | 코르키 | 케이틀린 | 킨드레드
마법공학 총검,B,4.09,-0.14,14.9%,1149135,15.0%,벡스 | 티모 | 진 | 르블랑 | 탈론
스테락의 도전,B,4.13,-0.14,15.5%,1198823,15.7%,거대 메크 로봇 | 브라이어 | 피오라 | 리븐 | 그레이브즈
붉은 덩굴정령,B,3.95,-0.12,17.3%,881580,11.5%,자야 | 진 | 카르마 | 나미 | 벡스
모렐로노미콘,B,3.95,-0.12,16.3%,872601,11.4%,카르마 | 오로라 | 바드 | 나미 | 리산드라
대천사의 지팡이,B,4.17,-0.12,13.3%,1079010,14.1%,빅토르 | 아우렐리온 솔 | 오로라 | 카르마 | 나미
최후의 속삭임,B,4.06,-0.12,17.2%,948439,12.4%,진 | 자야 | 코르키 | 킨드레드 | 사미라
크라켄의 분노,B,4.27,-0.11,13.4%,1136929,14.9%,자야 | 벨베스 | 킨드레드 | 진 | 케이틀린
이온 충격기,C,4.04,-0.10,15.0%,782334,10.2%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
푸른 파수꾼,C,4.18,-0.09,14.2%,876552,11.5%,카르마 | 오로라 | 카이사 | 바드 | 나미
거인의 결의,C,4.36,-0.09,12.8%,1077567,14.1%,리븐 | 브라이어 | 거대 메크 로봇 | 피오라 | 마스터 이
여신의 눈물,C,4.74,-0.01,10.3%,318962,4.2%,바드 | 누누와 윌럼프 | 카르마 | 리산드라 | 라아스트
음전자 망토,C,4.80,-0.01,10.2%,317057,4.1%,라아스트 | 모데카이저 | 일라오이 | 누누와 윌럼프 | 람머스
쇠사슬 조끼,C,4.81,-0.01,10.0%,321140,4.2%,라아스트 | 누누와 윌럼프 | 모데카이저 | 일라오이 | 람머스
쓸데없이 큰 지팡이,C,4.83,-0.01,9.8%,329469,4.3%,바드 | 카르마 | 리산드라 | 오로라 | 블리츠크랭크
거인의 허리띠,C,4.87,-0.01,10.0%,425855,5.6%,누누와 윌럼프 | 라아스트 | 일라오이 | 모데카이저 | 람머스
곡궁,C,4.85,-0.01,9.9%,340632,4.5%,카르마 | 진 | 리산드라 | 바드 | 자야
연습용 장갑,C,4.82,-0.01,9.8%,283830,3.7%,진 | 카르마 | 블리츠크랭크 | 바드 | 리산드라
B.F. 대검,C,4.95,-0.00,9.4%,312965,4.1%,진 | 파이크 | 아칼리 | 자야 | 나르
프라이팬,D,5.33,+0.00,7.7%,2558,0.0%,라아스트 | 모데카이저 | 블리츠크랭크 | 아칼리 | 카르마
뒤집개,D,5.70,+0.21,5.2%,11043,0.1%,리븐 | 카르마 | 리산드라 | 바드 | 소나
