Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.33,14.0%,2114523,40.9%,벡스 | 벨베스 | 진 | 르블랑 | 자야
크라운가드,B,3.86,-0.16,16.9%,745294,14.4%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 잭스
밤의 끝자락,B,4.05,-0.16,15.4%,889573,17.2%,피오라 | 마스터 이 | 리븐 | 아칼리 | 파이크
덤불 조끼,B,4.03,-0.15,14.7%,818524,15.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
피바라기,B,4.30,-0.15,14.4%,1141626,22.1%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
내셔의 이빨,B,4.30,-0.15,12.6%,1099507,21.2%,나미 | 트위스티드 페이트 | 베이가 | 카르마 | 피즈
마법공학 총검,B,4.11,-0.15,15.3%,855703,16.5%,벡스 | 르블랑 | 티모 | 진 | 바드
죽음의 검,B,4.11,-0.14,15.5%,792840,15.3%,진 | 코르키 | 자야 | 그레이브즈 | 킨드레드
스테락의 도전,B,4.18,-0.13,16.4%,846801,16.4%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
대천사의 지팡이,B,4.19,-0.13,13.4%,811533,15.7%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
붉은 덩굴정령,B,3.97,-0.12,17.0%,613475,11.9%,자야 | 카르마 | 나미 | 진 | 벡스
수은,B,4.14,-0.12,14.3%,722741,14.0%,벨베스 | 우르곳 | 그레이브즈 | 피오라 | 마스터 이
모렐로노미콘,B,3.96,-0.12,16.5%,583666,11.3%,카르마 | 바드 | 나미 | 블리츠크랭크 | 리산드라
크라켄의 분노,B,4.24,-0.11,13.4%,772165,14.9%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 진
최후의 속삭임,B,4.11,-0.11,16.8%,635052,12.3%,진 | 자야 | 코르키 | 사미라 | 카이사
이온 충격기,B,4.05,-0.11,14.9%,581559,11.2%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 탐 켄치 | 람머스
저녁갑주,B,4.29,-0.10,15.2%,740264,14.3%,람머스 | 누누와 윌럼프 | 오른 | 탐 켄치 | 마오카이
푸른 파수꾼,C,4.21,-0.09,14.0%,590967,11.4%,카르마 | 나미 | 바드 | 카이사 | 코르키
거인의 결의,C,4.40,-0.09,13.8%,737529,14.3%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 블리츠크랭크
여신의 눈물,C,4.71,-0.01,10.6%,206730,4.0%,바드 | 카르마 | 누누와 윌럼프 | 모르가나 | 블리츠크랭크
음전자 망토,C,4.78,-0.01,10.2%,209655,4.1%,모데카이저 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
쇠사슬 조끼,C,4.78,-0.01,10.2%,206763,4.0%,모데카이저 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이
거인의 허리띠,C,4.84,-0.01,10.1%,273372,5.3%,누누와 윌럼프 | 탐 켄치 | 모데카이저 | 일라오이 | 람머스
쓸데없이 큰 지팡이,C,4.82,-0.01,10.0%,209885,4.1%,바드 | 카르마 | 블리츠크랭크 | 리산드라 | 모르가나
연습용 장갑,C,4.81,-0.01,9.7%,183100,3.5%,진 | 카르마 | 블리츠크랭크 | 바드 | 리산드라
곡궁,C,4.85,-0.01,9.9%,222824,4.3%,카르마 | 바드 | 리산드라 | 진 | 자야
B.F. 대검,C,4.91,-0.00,9.3%,200328,3.9%,진 | 파이크 | 피오라 | 케이틀린 | 나르
프라이팬,D,5.58,+0.00,6.3%,1419,0.0%,라아스트 | 카르마 | 누누와 윌럼프 | 마오카이 | 리산드라
뒤집개,D,5.86,+0.24,4.7%,6967,0.1%,리븐 | 카르마 | 바드 | 리산드라 | 나미
