Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.33,14.1%,1805207,40.3%,벡스 | 벨베스 | 르블랑 | 진 | 자야
라바돈의 죽음모자,B,4.05,-0.17,15.2%,807091,18.0%,트위스티드 페이트 | 아우렐리온 솔 | 빅토르 | 나미 | 벡스
굳건한 심장,B,4.03,-0.17,15.2%,787811,17.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
밤의 끝자락,B,4.05,-0.17,15.5%,788288,17.6%,피오라 | 리븐 | 마스터 이 | 아칼리 | 파이크
크라운가드,B,3.87,-0.16,16.9%,646572,14.4%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 잭스
피바라기,B,4.30,-0.16,14.6%,1018276,22.7%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
마법공학 총검,B,4.11,-0.15,15.4%,761224,17.0%,벡스 | 르블랑 | 티모 | 진 | 바드
덤불 조끼,B,4.05,-0.15,14.6%,704862,15.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
내셔의 이빨,B,4.30,-0.15,12.7%,957698,21.4%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
스테락의 도전,B,4.19,-0.14,16.4%,774490,17.3%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
죽음의 검,B,4.11,-0.13,15.5%,675834,15.1%,진 | 코르키 | 자야 | 그레이브즈 | 킨드레드
대천사의 지팡이,B,4.20,-0.13,13.5%,726964,16.2%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
붉은 덩굴정령,B,3.97,-0.12,17.0%,537799,12.0%,자야 | 카르마 | 진 | 나미 | 벡스
모렐로노미콘,B,3.98,-0.12,16.5%,514517,11.5%,카르마 | 바드 | 나미 | 블리츠크랭크 | 리산드라
수은,B,4.14,-0.12,14.5%,604329,13.5%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
크라켄의 분노,B,4.23,-0.11,13.4%,667088,14.9%,자야 | 벨베스 | 킨드레드 | 진 | 케이틀린
이온 충격기,B,4.05,-0.11,15.0%,517483,11.6%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
최후의 속삭임,B,4.12,-0.11,16.5%,543180,12.1%,진 | 코르키 | 자야 | 사미라 | 킨드레드
저녁갑주,C,4.30,-0.10,14.8%,614194,13.7%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
푸른 파수꾼,C,4.22,-0.09,14.1%,512194,11.4%,카르마 | 카이사 | 바드 | 코르키 | 나미
거인의 결의,C,4.40,-0.09,13.9%,664050,14.8%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 블리츠크랭크
여신의 눈물,C,4.71,-0.01,10.5%,176657,3.9%,바드 | 카르마 | 누누와 윌럼프 | 모르가나 | 블리츠크랭크
쇠사슬 조끼,C,4.78,-0.01,10.2%,175970,3.9%,누누와 윌럼프 | 람머스 | 모데카이저 | 탐 켄치 | 일라오이
음전자 망토,C,4.78,-0.01,10.2%,178992,4.0%,누누와 윌럼프 | 일라오이 | 모데카이저 | 람머스 | 탐 켄치
거인의 허리띠,C,4.84,-0.01,10.1%,233249,5.2%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 모데카이저
쓸데없이 큰 지팡이,C,4.81,-0.01,10.0%,178631,4.0%,바드 | 카르마 | 블리츠크랭크 | 리산드라 | 모르가나
곡궁,C,4.85,-0.01,9.8%,190198,4.2%,카르마 | 바드 | 리산드라 | 진 | 자야
연습용 장갑,C,4.82,-0.01,9.5%,155954,3.5%,카르마 | 진 | 블리츠크랭크 | 바드 | 리산드라
B.F. 대검,C,4.91,-0.00,9.3%,169387,3.8%,진 | 파이크 | 피오라 | 케이틀린 | 리븐
프라이팬,D,5.64,+0.00,6.0%,1171,0.0%,라아스트 | 카르마 | 꼬마 정령 | 오른 | 모데카이저
뒤집개,D,5.92,+0.24,4.6%,5769,0.1%,리븐 | 카르마 | 바드 | 라아스트 | 리산드라
