Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.96,-2.54,57.2%,1811,0.0%,벡스 | 자야 | 킨드레드 | 아우렐리온 솔 | 진
새벽의 방패,C,4.43,-0.07,11.8%,26528,0.6%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
황혼의 방패,C,4.44,-0.06,11.8%,25441,0.6%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 일라오이 | 탐 켄치
추적자의 팔목 보호대,C,4.44,-0.06,12.4%,22106,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
고속 연사포,C,4.45,-0.05,11.1%,20660,0.5%,벨베스 | 마스터 이 | 자야 | 그레이브즈 | 우르곳
소라카의 기적,C,4.45,-0.05,11.8%,66766,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
루덴의 폭풍,C,4.45,-0.05,10.5%,19071,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 아우렐리온 솔
역병의 보석,C,4.46,-0.04,11.9%,18939,0.4%,아우렐리온 솔 | 벡스 | 빅토르 | 카르마 | 나미
데마시아의 왕관,C,4.48,-0.02,9.6%,22013,0.5%,자야 | 벡스 | 르블랑 | 카이사 | 초가스
바루스의 집착,C,4.49,-0.01,10.7%,42010,0.9%,아우렐리온 솔 | 벡스 | 자야 | 르블랑 | 티모
저격수의 집중,D,4.50,+0.00,11.7%,25124,0.6%,자야 | 벡스 | 킨드레드 | 진 | 아우렐리온 솔
쓰레쉬의 랜턴,D,4.51,+0.01,10.9%,38055,0.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
승천의 부적,D,4.55,+0.05,10.1%,16133,0.4%,초가스 | 거대 메크 로봇 | 아우렐리온 솔 | 누누와 윌럼프 | 일라오이
새벽심장,D,4.58,+0.08,10.7%,23307,0.5%,나미 | 카르마 | 이즈리얼 | 아우렐리온 솔 | 베이가
야스오의 검술,D,4.77,+0.27,8.7%,33718,0.8%,자야 | 킨드레드 | 벨베스 | 그레이브즈 | 마스터 이
케일의 승천,D,4.98,+0.48,6.2%,41725,0.9%,벡스 | 자야 | 르블랑 | 아우렐리온 솔 | 킨드레드
