Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.97,-2.53,59.3%,528,0.0%,벡스 | 르블랑 | 아우렐리온 솔 | 자야 | 킨드레드
루덴의 폭풍,C,4.44,-0.06,11.1%,5919,0.4%,트위스티드 페이트 | 카르마 | 빅토르 | 나미 | 아우렐리온 솔
데마시아의 왕관,C,4.44,-0.06,9.9%,7735,0.5%,르블랑 | 벡스 | 아우렐리온 솔 | 카이사 | 자야
역병의 보석,C,4.45,-0.05,11.8%,6176,0.4%,아우렐리온 솔 | 벡스 | 카르마 | 빅토르 | 르블랑
소라카의 기적,C,4.45,-0.05,12.0%,20937,1.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
저격수의 집중,C,4.48,-0.02,12.3%,7768,0.5%,벡스 | 아우렐리온 솔 | 킨드레드 | 자야 | 진
바루스의 집착,D,4.51,+0.01,10.8%,14206,1.0%,아우렐리온 솔 | 르블랑 | 벡스 | 빅토르 | 자야
승천의 부적,D,4.52,+0.02,10.9%,4868,0.3%,아우렐리온 솔 | 거대 메크 로봇 | 초가스 | 일라오이 | 블리츠크랭크
쓰레쉬의 랜턴,D,4.56,+0.06,10.4%,12279,0.8%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 거대 메크 로봇
새벽심장,D,4.57,+0.07,10.9%,7117,0.5%,나미 | 카르마 | 아우렐리온 솔 | 이즈리얼 | 트위스티드 페이트
야스오의 검술,D,4.81,+0.31,8.1%,10460,0.7%,자야 | 킨드레드 | 그레이브즈 | 마스터 이 | 벨베스
케일의 승천,D,4.98,+0.48,6.6%,12828,0.9%,르블랑 | 아우렐리온 솔 | 벡스 | 킨드레드 | 자야
