Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.94,-2.56,58.5%,1005,0.0%,벡스 | 자야 | 아우렐리온 솔 | 킨드레드 | 르블랑
지옥불 손도끼,B,4.36,-0.14,13.4%,8359,0.3%,리븐 | 피오라 | 그레이브즈 | 우르곳 | 마스터 이
공허 건틀릿,B,4.37,-0.13,12.9%,13117,0.5%,누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇 | 일라오이
이블린의 본능,B,4.38,-0.12,10.5%,29583,1.1%,벨베스 | 리븐 | 마스터 이 | 피오라 | 피즈
리치베인,B,4.38,-0.12,11.6%,10789,0.4%,벡스 | 르블랑 | 피즈 | 카르마 | 나미
선체분쇄자,B,4.39,-0.11,12.7%,13183,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
자객의 발톱,B,4.40,-0.10,11.8%,10045,0.4%,리븐 | 피오라 | 아칼리 | 마스터 이 | 우르곳
카파 주스,C,4.40,-0.10,13.8%,7919,0.3%,아우렐리온 솔 | 벡스 | 르블랑 | 킨드레드 | 빅토르
황혼의 방패,C,4.41,-0.09,11.9%,15500,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 람머스 | 탐 켄치
추적자의 팔목 보호대,C,4.42,-0.08,12.8%,13603,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
고속 연사포,C,4.43,-0.07,11.1%,12226,0.4%,벨베스 | 마스터 이 | 그레이브즈 | 자야 | 르블랑
새벽의 방패,C,4.44,-0.06,12.3%,15238,0.6%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
루덴의 폭풍,C,4.44,-0.06,10.9%,11141,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 아우렐리온 솔
데마시아의 왕관,C,4.45,-0.05,9.8%,14119,0.5%,르블랑 | 벡스 | 카이사 | 자야 | 아우렐리온 솔
소라카의 기적,C,4.46,-0.04,12.0%,39580,1.4%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
역병의 보석,C,4.46,-0.04,11.7%,11582,0.4%,아우렐리온 솔 | 벡스 | 카르마 | 빅토르 | 나미
바루스의 집착,C,4.49,-0.01,10.8%,26151,0.9%,아우렐리온 솔 | 르블랑 | 벡스 | 자야 | 빅토르
저격수의 집중,D,4.50,+0.00,11.9%,14796,0.5%,벡스 | 킨드레드 | 자야 | 아우렐리온 솔 | 진
쓰레쉬의 랜턴,D,4.52,+0.02,10.7%,22959,0.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
승천의 부적,D,4.53,+0.03,10.5%,9142,0.3%,초가스 | 아우렐리온 솔 | 거대 메크 로봇 | 일라오이 | 누누와 윌럼프
새벽심장,D,4.60,+0.10,10.6%,13703,0.5%,나미 | 카르마 | 아우렐리온 솔 | 이즈리얼 | 트위스티드 페이트
야스오의 검술,D,4.79,+0.29,8.3%,19688,0.7%,자야 | 킨드레드 | 그레이브즈 | 벨베스 | 마스터 이
케일의 승천,D,4.99,+0.49,6.4%,24255,0.9%,벡스 | 르블랑 | 아우렐리온 솔 | 자야 | 킨드레드
