Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.81,-2.69,57.3%,150,0.0%,진 | 킨드레드 | 르블랑 | 카이사 | 코르키
선체분쇄자,B,4.36,-0.14,12.0%,2709,0.5%,거대 메크 로봇 | 람머스 | 누누와 윌럼프 | 오른 | 일라오이
황혼의 방패,B,4.38,-0.12,12.5%,2815,0.6%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 거대 메크 로봇
역병의 보석,B,4.39,-0.11,11.5%,2467,0.5%,카르마 | 아우렐리온 솔 | 빅토르 | 나미 | 르블랑
이블린의 본능,B,4.39,-0.11,11.7%,4791,0.9%,마스터 이 | 벨베스 | 리븐 | 피즈 | 피오라
추적자의 팔목 보호대,B,4.39,-0.11,13.9%,2692,0.5%,아우렐리온 솔 | 피즈 | 블리츠크랭크 | 리븐 | 카르마
고속 연사포,C,4.42,-0.08,12.0%,2167,0.4%,킨드레드 | 마스터 이 | 진 | 벨베스 | 카이사
새벽의 방패,C,4.43,-0.07,11.6%,2429,0.5%,람머스 | 오른 | 누누와 윌럼프 | 탐 켄치 | 일라오이
카파 주스,C,4.43,-0.07,13.1%,1413,0.3%,킨드레드 | 진 | 르블랑 | 아우렐리온 솔 | 카이사
소라카의 기적,C,4.44,-0.06,11.7%,7553,1.5%,람머스 | 누누와 윌럼프 | 오른 | 거대 메크 로봇 | 일라오이
데마시아의 왕관,C,4.46,-0.04,9.3%,2687,0.5%,초가스 | 르블랑 | 카이사 | 아우렐리온 솔 | 킨드레드
도박꾼의 칼날,C,4.46,-0.04,12.2%,2960,0.6%,킨드레드 | 진 | 르블랑 | 자야 | 카이사
바루스의 집착,C,4.47,-0.03,11.6%,4997,1.0%,르블랑 | 아우렐리온 솔 | 킨드레드 | 코르키 | 진
루덴의 폭풍,C,4.48,-0.02,10.4%,1925,0.4%,카르마 | 나미 | 빅토르 | 아우렐리온 솔 | 바드
저격수의 집중,C,4.50,-0.00,11.3%,2629,0.5%,킨드레드 | 진 | 코르키 | 카이사 | 자야
쓰레쉬의 랜턴,D,4.52,+0.02,11.1%,4003,0.8%,람머스 | 오른 | 누누와 윌럼프 | 마오카이 | 탐 켄치
승천의 부적,D,4.58,+0.08,11.3%,1483,0.3%,람머스 | 초가스 | 거대 메크 로봇 | 오른 | 일라오이
새벽심장,D,4.58,+0.08,11.1%,2355,0.5%,카르마 | 나미 | 아우렐리온 솔 | 바드 | 빅토르
야스오의 검술,D,4.80,+0.30,8.5%,3060,0.6%,킨드레드 | 진 | 마스터 이 | 자야 | 카이사
케일의 승천,D,5.02,+0.52,6.6%,3881,0.8%,킨드레드 | 진 | 르블랑 | 카이사 | 코르키
