Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,2.00,-2.50,56.3%,2823,0.0%,벡스 | 자야 | 아우렐리온 솔 | 티모 | 트위스티드 페이트
카파 주스,B,4.38,-0.12,13.3%,18618,0.3%,아우렐리온 솔 | 자야 | 벡스 | 진 | 카이사
명멸검,C,4.40,-0.10,12.0%,50006,0.8%,자야 | 벡스 | 벨베스 | 르블랑 | 킨드레드
소라카의 기적,C,4.42,-0.08,12.2%,96571,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
황혼의 방패,C,4.43,-0.07,11.9%,36879,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
고속 연사포,C,4.43,-0.07,11.7%,31472,0.5%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
역병의 보석,C,4.44,-0.06,11.0%,26880,0.4%,아우렐리온 솔 | 나미 | 카르마 | 벡스 | 빅토르
추적자의 팔목 보호대,C,4.45,-0.05,12.2%,30923,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
루덴의 폭풍,C,4.46,-0.04,9.9%,28014,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 오로라
데마시아의 왕관,C,4.48,-0.02,9.9%,29367,0.5%,자야 | 티모 | 벡스 | 카이사 | 트위스티드 페이트
바루스의 집착,C,4.50,-0.00,10.6%,57895,0.9%,아우렐리온 솔 | 티모 | 벡스 | 자야 | 트위스티드 페이트
쓰레쉬의 랜턴,D,4.50,+0.00,11.0%,54863,0.9%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 마오카이
저격수의 집중,D,4.51,+0.01,11.4%,35471,0.6%,자야 | 진 | 벡스 | 킨드레드 | 아우렐리온 솔
승천의 부적,D,4.55,+0.05,10.6%,24922,0.4%,거대 메크 로봇 | 초가스 | 우르곳 | 아우렐리온 솔 | 누누와 윌럼프
새벽심장,D,4.59,+0.09,10.2%,32686,0.5%,나미 | 카르마 | 오로라 | 이즈리얼 | 아우렐리온 솔
야스오의 검술,D,4.74,+0.24,8.8%,52277,0.8%,우르곳 | 자야 | 벨베스 | 킨드레드 | 그레이브즈
케일의 승천,D,4.97,+0.47,6.1%,61632,1.0%,자야 | 벡스 | 아우렐리온 솔 | 티모 | 킨드레드
