Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.38,14.4%,142107,48.3%,Master Yi | Corki | Vex | Aurelion Sol | Kindred
Quicksilver,B,4.11,-0.12,15.7%,40448,13.8%,Master Yi | Riven | Fiora | Bel'Veth | Urgot
Hextech Gunblade,B,4.08,-0.12,16.5%,37063,12.6%,Vex | LeBlanc | Teemo | Karma | Riven
Nashor's Tooth,B,4.39,-0.11,13.3%,54058,18.4%,Lulu | Twisted Fate | Karma | Nami | Milio
Ionic Spark,C,4.16,-0.10,15.2%,33807,11.5%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.12,-0.09,15.0%,31189,10.6%,Aurelion Sol | Karma | Bard | Milio | Viktor
Titan's Resolve,C,4.36,-0.08,13.4%,36850,12.5%,Riven | Briar | Diana | Fiora | The Mighty Mech
Kraken's Fury,C,4.18,-0.07,15.0%,24827,8.4%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Tear of the Goddess,C,4.71,-0.01,10.0%,10817,3.7%,Karma | Milio | Bard | Nunu & Willump | Maokai
Giant's Belt,C,4.84,-0.01,10.1%,14859,5.1%,Illaoi | The Mighty Mech | Maokai | Nunu & Willump | Mordekaiser
Negatron Cloak,C,4.80,-0.01,9.6%,10791,3.7%,Illaoi | The Mighty Mech | Mordekaiser | Maokai | Nunu & Willump
Chain Vest,C,4.80,-0.01,9.8%,10715,3.6%,The Mighty Mech | Illaoi | Mordekaiser | Maokai | Nunu & Willump
Recurve Bow,C,4.85,-0.01,10.0%,12196,4.1%,Milio | Karma | Bard | Jhin | Kindred
Sparring Gloves,C,4.80,-0.01,9.7%,9086,3.1%,Milio | Karma | Jhin | Blitzcrank | Riven
Needlessly Large Rod,C,4.84,-0.01,9.2%,10873,3.7%,Milio | Karma | Bard | Fizz | Blitzcrank
B.F. Sword,C,4.91,-0.00,8.9%,9744,3.3%,Riven | Jhin | Urgot | Kai'Sa | Karma
Frying Pan,D,6.26,+0.00,0.0%,35,0.0%,Corki | Karma | Twisted Fate | Bard | Milio
Spatula,D,5.35,+0.14,10.5%,448,0.2%,Riven | Karma | Milio | Bard | Lissandra
