Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,120050,49.4%,Master Yi | Kindred | Jhin | Corki | Bel'Veth
Jeweled Gauntlet,B,4.41,-0.19,14.0%,78659,32.3%,Karma | Lulu | Nami | Vex | Aurora
Infinity Edge,B,4.38,-0.19,14.1%,73766,30.3%,Kai'Sa | Jhin | Ezreal | Corki | Xayah
Deathblade,B,4.10,-0.19,14.9%,50203,20.6%,Corki | Jhin | Kindred | Kai'Sa | Ezreal
Evenshroud,B,4.32,-0.18,13.8%,65116,26.8%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Rek'Sai
Bloodthirster,B,4.21,-0.18,13.5%,55150,22.7%,Riven | Briar | Fiora | Master Yi | Blitzcrank
Bramble Vest,B,3.91,-0.18,16.0%,38959,16.0%,Rammus | Tahm Kench | Nunu & Willump | Maokai | Illaoi
Hand Of Justice,B,4.04,-0.17,15.2%,43828,18.0%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Void Staff,B,4.19,-0.17,15.4%,49975,20.5%,Karma | Bard | Lissandra | Zoe | Nami
Quicksilver,B,4.30,-0.16,13.3%,57430,23.6%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Red Buff,B,4.07,-0.16,16.1%,41028,16.9%,Kindred | Jhin | Karma | Xayah | Kai'Sa
Rabadon's Deathcap,B,4.09,-0.16,15.7%,41579,17.1%,Karma | Twisted Fate | Teemo | Vex | Bard
Steadfast Heart,B,4.00,-0.15,15.5%,36918,15.2%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Hextech Gunblade,B,4.07,-0.15,15.3%,38385,15.8%,Teemo | Vex | Kindred | LeBlanc | Talon
Morellonomicon,B,4.20,-0.14,14.6%,42870,17.6%,Karma | Bard | Milio | Zoe | Lissandra
Blue Buff,B,4.21,-0.13,14.4%,40916,16.8%,Kai'Sa | Karma | Corki | Bard | Aurora
Titan's Resolve,B,4.25,-0.12,13.1%,39361,16.2%,Briar | Riven | Fiora | Master Yi | The Mighty Mech
Kraken's Fury,B,4.17,-0.12,14.0%,33959,14.0%,Kindred | Bel'Veth | Xayah | Jhin | Caitlyn
Nashor's Tooth,B,4.40,-0.11,13.3%,45574,18.7%,Lulu | Twisted Fate | Karma | Nami | Veigar
Dragon's Claw,C,4.30,-0.10,13.1%,34387,14.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Archangel's Staff,C,4.16,-0.08,15.0%,23154,9.5%,Karma | Viktor | Aurelion Sol | Bard | Milio
Ionic Spark,C,4.22,-0.08,14.7%,23454,9.6%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Maokai
Tear of the Goddess,C,4.77,-0.01,9.8%,8485,3.5%,Karma | Bard | Milio | Nunu & Willump | Maokai
Recurve Bow,C,4.85,-0.01,9.8%,9571,3.9%,Karma | Milio | Kindred | Jhin | Kai'Sa
Negatron Cloak,C,4.84,-0.01,9.8%,8704,3.6%,Illaoi | Maokai | Mordekaiser | Tahm Kench | The Mighty Mech
Needlessly Large Rod,C,4.84,-0.01,9.3%,8843,3.6%,Karma | Milio | Bard | Lissandra | Kindred
Chain Vest,C,4.83,-0.01,9.8%,7846,3.2%,Maokai | Illaoi | Mordekaiser | Tahm Kench | Nunu & Willump
Giant's Belt,C,4.91,-0.00,9.5%,11181,4.6%,Maokai | Tahm Kench | Illaoi | Nunu & Willump | Mordekaiser
Sparring Gloves,C,4.87,-0.00,8.6%,7023,2.9%,Jhin | Karma | Kai'Sa | Milio | Kindred
B.F. Sword,C,4.99,-0.00,8.2%,7560,3.1%,Jhin | Riven | Kai'Sa | Kindred | Urgot
Frying Pan,D,6.34,+0.00,5.7%,35,0.0%,Karma | Kindred | Lissandra | Riven | Bard
Spatula,D,5.73,+0.22,6.9%,391,0.2%,Riven | Karma | Kindred | Urgot | Lissandra
