Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.36,14.4%,67442,45.5%,Vex | Master Yi | Graves | Jhin | Bard
Nashor's Tooth,B,4.28,-0.12,13.5%,24320,16.4%,Nami | Lulu | Lissandra | Karma | Bard
Hextech Gunblade,B,4.07,-0.11,16.3%,17794,12.0%,Vex | Bard | LeBlanc | Jhin | Blitzcrank
Kraken's Fury,B,4.36,-0.11,14.3%,25453,17.2%,Xayah | Kindred | Bel'Veth | Graves | Jhin
Blue Buff,C,4.08,-0.10,15.3%,15675,10.6%,Sona | Karma | Bard | Corki | Milio
Ionic Spark,C,4.07,-0.09,15.4%,15108,10.2%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | The Mighty Mech
Titan's Resolve,C,4.23,-0.08,14.1%,16093,10.9%,Riven | Diana | Fiora | Jax | Blitzcrank
Evenshroud,C,4.26,-0.08,12.6%,16775,11.3%,Tahm Kench | Maokai | Nunu & Willump | Rammus | The Mighty Mech
Archangel's Staff,C,3.99,-0.08,16.2%,11084,7.5%,Bard | Vex | Karma | Sona | Aurelion Sol
Tear of the Goddess,C,4.70,-0.01,9.8%,5384,3.6%,Nunu & Willump | Karma | Blitzcrank | Bard | Maokai
Giant's Belt,C,4.85,-0.01,9.9%,7367,5.0%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Chain Vest,C,4.83,-0.01,9.3%,5503,3.7%,Nunu & Willump | Illaoi | Maokai | The Mighty Mech | Tahm Kench
Negatron Cloak,C,4.83,-0.01,9.4%,5139,3.5%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Mordekaiser
Needlessly Large Rod,C,4.86,-0.00,9.0%,5406,3.6%,Blitzcrank | Karma | Bard | Milio | Sona
Recurve Bow,C,4.89,-0.00,9.6%,5992,4.0%,Karma | Jhin | Milio | Sona | Bard
Sparring Gloves,C,4.91,-0.00,9.5%,4568,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Frying Pan,D,5.83,+0.00,11.1%,18,0.0%,Rhaast | Karma | Blitzcrank | Illaoi | Maokai
B.F. Sword,D,5.02,+0.00,8.5%,5195,3.5%,Jhin | Fiora | Riven | Graves | Karma
Spatula,D,5.27,+0.13,7.9%,214,0.1%,Karma | Riven | Blitzcrank | Rhaast | Bard
