Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.36,13.8%,3281112,44.6%,Urgot | Vex | Bel'Veth | Jhin | Xayah
Hand Of Justice,B,4.13,-0.17,13.9%,1422491,19.3%,Fiora | Blitzcrank | Akali | Riven | Graves
Crownguard,B,3.86,-0.17,16.8%,1072626,14.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Blitzcrank
Bramble Vest,B,3.97,-0.16,15.4%,1171466,15.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Edge of Night,B,4.05,-0.15,15.0%,1136964,15.4%,Master Yi | Fiora | Riven | Pyke | Akali
Nashor's Tooth,B,4.28,-0.15,12.4%,1491316,20.3%,Twisted Fate | Nami | Veigar | Karma | Aurora
Quicksilver,B,4.20,-0.14,13.4%,1325498,18.0%,Urgot | Bel'Veth | Graves | Fiora | Master Yi
Bloodthirster,B,4.31,-0.14,13.7%,1532821,20.8%,Riven | Fiora | Briar | Blitzcrank | Graves
Evenshroud,B,4.22,-0.14,15.7%,1333548,18.1%,Nunu & Willump | Rammus | Maokai | Ornn | Tahm Kench
Deathblade,B,4.10,-0.14,15.6%,1141780,15.5%,Jhin | Xayah | Corki | Caitlyn | Urgot
Hextech Gunblade,B,4.09,-0.14,14.9%,1120994,15.2%,Vex | Teemo | Jhin | LeBlanc | Talon
Sterak's Gage,B,4.14,-0.13,15.7%,1144374,15.5%,The Mighty Mech | Fiora | Briar | Riven | Graves
Red Buff,B,3.95,-0.12,17.3%,854933,11.6%,Xayah | Jhin | Karma | Nami | Vex
Morellonomicon,B,3.95,-0.12,16.3%,835861,11.4%,Karma | Bard | Nami | Aurora | Lissandra
Archangel's Staff,B,4.17,-0.12,13.3%,1053910,14.3%,Viktor | Aurelion Sol | Aurora | Karma | Nami
Last Whisper,B,4.07,-0.12,17.1%,917404,12.5%,Jhin | Xayah | Corki | Kindred | Samira
Kraken's Fury,B,4.27,-0.11,13.4%,1112114,15.1%,Xayah | Bel'Veth | Kindred | Jhin | Caitlyn
Ionic Spark,C,4.04,-0.10,15.0%,758770,10.3%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Blue Buff,C,4.18,-0.09,14.2%,833329,11.3%,Karma | Aurora | Kai'Sa | Nami | Bard
Titan's Resolve,C,4.37,-0.09,12.9%,1014411,13.8%,Riven | Briar | The Mighty Mech | Fiora | Master Yi
Tear of the Goddess,C,4.74,-0.01,10.3%,305183,4.1%,Bard | Nunu & Willump | Karma | Lissandra | Blitzcrank
Negatron Cloak,C,4.80,-0.01,10.1%,305163,4.1%,Rhaast | Mordekaiser | Illaoi | Nunu & Willump | Rammus
Chain Vest,C,4.81,-0.01,10.0%,306620,4.2%,Rhaast | Nunu & Willump | Mordekaiser | Illaoi | Rammus
Needlessly Large Rod,C,4.82,-0.01,9.9%,313956,4.3%,Bard | Karma | Lissandra | Blitzcrank | Aurora
Giant's Belt,C,4.87,-0.01,9.9%,407526,5.5%,Nunu & Willump | Rhaast | Illaoi | Mordekaiser | Rammus
Sparring Gloves,C,4.82,-0.01,9.9%,271064,3.7%,Jhin | Karma | Blitzcrank | Bard | Akali
Recurve Bow,C,4.85,-0.01,9.9%,326981,4.4%,Karma | Jhin | Lissandra | Bard | Xayah
B.F. Sword,C,4.94,-0.00,9.4%,299928,4.1%,Jhin | Pyke | Akali | Xayah | Gnar
Frying Pan,D,5.35,+0.00,7.3%,2437,0.0%,Rhaast | Mordekaiser | Nami | Karma | Riven
Spatula,D,5.74,+0.22,4.9%,10388,0.1%,Riven | Karma | Lissandra | Sona | Rhaast
