Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,158260,49.5%,Master Yi | Corki | Kindred | Jhin | Teemo
Dragon's Claw,C,4.25,-0.10,13.5%,42231,13.2%,Rammus | Nunu & Willump | Tahm Kench | Maokai | Illaoi
Archangel's Staff,C,4.12,-0.08,15.2%,28012,8.8%,Karma | Bard | Aurelion Sol | Milio | Twisted Fate
Ionic Spark,C,4.20,-0.07,14.7%,29306,9.2%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Maokai
Tear of the Goddess,C,4.78,-0.01,9.4%,11510,3.6%,Karma | Milio | Maokai | Bard | Nunu & Willump
Needlessly Large Rod,C,4.84,-0.01,9.2%,11949,3.7%,Karma | Milio | Bard | Fizz | Lissandra
Chain Vest,C,4.83,-0.01,9.7%,10705,3.3%,Maokai | Mordekaiser | The Mighty Mech | Illaoi | Tahm Kench
Giant's Belt,C,4.89,-0.00,9.9%,14745,4.6%,Maokai | Illaoi | Tahm Kench | The Mighty Mech | Mordekaiser
Negatron Cloak,C,4.87,-0.00,9.5%,11339,3.5%,Maokai | Illaoi | The Mighty Mech | Mordekaiser | Tahm Kench
Sparring Gloves,C,4.86,-0.00,9.3%,9636,3.0%,Milio | Kai'Sa | Jhin | Urgot | Karma
Recurve Bow,C,4.93,-0.00,8.9%,12989,4.1%,Milio | Karma | Kindred | Jhin | Kai'Sa
B.F. Sword,C,4.96,-0.00,8.8%,10266,3.2%,Jhin | Riven | Kai'Sa | Urgot | Kindred
Frying Pan,D,6.60,+0.00,0.0%,43,0.0%,Riven | Kindred | Karma | Bel'Veth | Nunu & Willump
Spatula,D,5.72,+0.22,6.4%,500,0.2%,Riven | Karma | Kai'Sa | Kindred | Lissandra
