Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.2%,268320,49.5%,Master Yi | Aurelion Sol | Vex | Corki | Jhin
Tear of the Goddess,C,4.69,-0.01,10.4%,19761,3.6%,Milio | Karma | Bard | Nunu & Willump | Sona
Negatron Cloak,C,4.77,-0.01,10.0%,19897,3.7%,The Mighty Mech | Illaoi | Mordekaiser | Nunu & Willump | Meepsie
Chain Vest,C,4.78,-0.01,10.2%,19616,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Mordekaiser | Maokai
Recurve Bow,C,4.82,-0.01,9.6%,22652,4.2%,Milio | Karma | Bard | Jhin | Sona
Giant's Belt,C,4.86,-0.01,10.0%,26888,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Sparring Gloves,C,4.81,-0.01,9.2%,17014,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
Needlessly Large Rod,C,4.86,-0.01,9.3%,20257,3.7%,Milio | Karma | Bard | Blitzcrank | Fizz
B.F. Sword,C,4.95,-0.00,8.8%,18566,3.4%,Riven | Jhin | Karma | Kai'Sa | Milio
Frying Pan,D,6.01,+0.00,1.3%,76,0.0%,Bard | Karma | Maokai | Meepsie | Milio
Spatula,D,5.49,+0.17,8.5%,823,0.2%,Karma | Riven | Milio | Kai'Sa | Bard
