Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.3%,272782,49.4%,Master Yi | Vex | Aurelion Sol | Corki | Jhin
Sterak's Gage,B,4.06,-0.20,14.8%,116877,21.2%,Riven | Fiora | The Mighty Mech | Graves | Briar
Spear of Shojin,B,4.28,-0.20,14.8%,150116,27.2%,Karma | Bard | Milio | Sona | Zed
Edge of Night,B,4.15,-0.19,15.1%,121351,22.0%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.13,-0.19,15.9%,117834,21.4%,Aurelion Sol | Karma | Vex | Bard | Milio
Morellonomicon,B,4.23,-0.17,14.1%,120123,21.8%,Karma | Milio | Bard | Sona | Blitzcrank
Bramble Vest,B,3.96,-0.17,15.4%,87829,15.9%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Bloodthirster,B,4.20,-0.16,14.0%,112903,20.5%,Riven | Fiora | Diana | Blitzcrank | Jax
Red Buff,B,4.13,-0.16,15.8%,102512,18.6%,Karma | Milio | Vex | Kindred | Bard
Infinity Edge,B,4.26,-0.16,14.8%,115621,21.0%,Jhin | Kai'Sa | Corki | Kindred | Graves
Hand Of Justice,B,3.94,-0.15,15.8%,79445,14.4%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
Steadfast Heart,B,3.97,-0.14,15.4%,74760,13.5%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Dragon's Claw,B,4.19,-0.13,13.5%,90424,16.4%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Quicksilver,B,4.22,-0.12,14.9%,82770,15.0%,Master Yi | Riven | Fiora | Graves | Urgot
Blue Buff,B,4.16,-0.11,14.5%,74897,13.6%,Karma | Corki | Kai'Sa | Bard | Sona
Nashor's Tooth,B,4.33,-0.11,14.0%,92501,16.8%,Lulu | Karma | Lissandra | Nami | Milio
Hextech Gunblade,B,4.05,-0.11,16.9%,64580,11.7%,Vex | Karma | Bard | Riven | LeBlanc
Evenshroud,B,4.29,-0.11,13.5%,85757,15.5%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Ionic Spark,C,4.10,-0.10,16.0%,58516,10.6%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Titan's Resolve,C,4.29,-0.08,14.1%,65265,11.8%,Riven | Diana | Fiora | Jax | Briar
Archangel's Staff,C,4.05,-0.08,15.6%,48560,8.8%,Karma | Aurelion Sol | Bard | Milio | Vex
Kraken's Fury,C,4.19,-0.07,14.5%,49864,9.0%,Kindred | Xayah | Bel'Veth | Jhin | Corki
Tear of the Goddess,C,4.70,-0.01,10.2%,19962,3.6%,Milio | Karma | Bard | Nunu & Willump | Sona
Negatron Cloak,C,4.77,-0.01,9.9%,19992,3.6%,The Mighty Mech | Illaoi | Mordekaiser | Nunu & Willump | Maokai
Chain Vest,C,4.77,-0.01,10.3%,19608,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Mordekaiser | Maokai
Recurve Bow,C,4.82,-0.01,9.6%,23049,4.2%,Milio | Karma | Bard | Jhin | Sona
Giant's Belt,C,4.85,-0.01,10.1%,27369,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Needlessly Large Rod,C,4.86,-0.01,9.2%,20836,3.8%,Milio | Karma | Bard | Blitzcrank | Fizz
Sparring Gloves,C,4.83,-0.01,9.4%,17159,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
B.F. Sword,C,4.95,-0.00,9.0%,18957,3.4%,Riven | Jhin | Kai'Sa | Karma | Fiora
Frying Pan,D,5.65,+0.00,9.7%,72,0.0%,Karma | Bard | The Mighty Mech | Rhaast | Corki
Spatula,D,5.52,+0.18,8.9%,863,0.2%,Karma | Riven | Milio | Kai'Sa | Bard
