Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.33,14.0%,2114523,40.9%,Vex | Bel'Veth | Jhin | LeBlanc | Xayah
Evenshroud,B,4.29,-0.10,15.2%,740264,14.3%,Rammus | Nunu & Willump | Ornn | Tahm Kench | Maokai
Blue Buff,C,4.21,-0.09,14.0%,590967,11.4%,Karma | Nami | Bard | Kai'Sa | Corki
Titan's Resolve,C,4.40,-0.09,13.8%,737529,14.3%,Riven | The Mighty Mech | Fiora | Master Yi | Blitzcrank
Tear of the Goddess,C,4.71,-0.01,10.6%,206730,4.0%,Bard | Karma | Nunu & Willump | Morgana | Blitzcrank
Negatron Cloak,C,4.78,-0.01,10.2%,209655,4.1%,Mordekaiser | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Chain Vest,C,4.78,-0.01,10.2%,206763,4.0%,Mordekaiser | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Giant's Belt,C,4.84,-0.01,10.1%,273372,5.3%,Nunu & Willump | Tahm Kench | Mordekaiser | Illaoi | Rammus
Needlessly Large Rod,C,4.82,-0.01,10.0%,209885,4.1%,Bard | Karma | Blitzcrank | Lissandra | Morgana
Sparring Gloves,C,4.81,-0.01,9.7%,183100,3.5%,Jhin | Karma | Blitzcrank | Bard | Lissandra
Recurve Bow,C,4.85,-0.01,9.9%,222824,4.3%,Karma | Bard | Lissandra | Jhin | Xayah
B.F. Sword,C,4.91,-0.00,9.3%,200328,3.9%,Jhin | Pyke | Fiora | Caitlyn | Gnar
Frying Pan,D,5.58,+0.00,6.3%,1419,0.0%,Rhaast | Karma | Nunu & Willump | Maokai | Lissandra
Spatula,D,5.86,+0.24,4.7%,6967,0.1%,Riven | Karma | Bard | Lissandra | Nami
