Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.38,14.4%,105060,47.8%,Master Yi | Corki | Vex | Kindred | Jhin
Red Buff,B,4.14,-0.15,15.4%,38890,17.7%,Kindred | Karma | Milio | Jhin | Bard
Steadfast Heart,B,4.00,-0.15,15.2%,32861,15.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Hand Of Justice,B,3.90,-0.15,16.3%,29765,13.5%,Riven | Fiora | Blitzcrank | Master Yi | Gragas
Dragon's Claw,B,4.21,-0.14,13.5%,40064,18.2%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Evenshroud,B,4.25,-0.13,14.4%,37975,17.3%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.20,-0.13,14.2%,35612,16.2%,Kai'Sa | Karma | Corki | Bard | Milio
Quicksilver,B,4.10,-0.12,15.7%,29773,13.5%,Master Yi | Riven | Fiora | Bel'Veth | Urgot
Hextech Gunblade,B,4.08,-0.12,16.6%,28035,12.8%,Vex | Teemo | LeBlanc | Karma | Riven
Nashor's Tooth,B,4.38,-0.12,13.3%,41099,18.7%,Lulu | Twisted Fate | Karma | Nami | Milio
Ionic Spark,C,4.17,-0.10,15.1%,25463,11.6%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.14,-0.09,14.9%,23875,10.9%,Karma | Aurelion Sol | Bard | Milio | Viktor
Titan's Resolve,C,4.36,-0.08,13.4%,28096,12.8%,Riven | Briar | Diana | Fiora | The Mighty Mech
Kraken's Fury,C,4.19,-0.07,15.1%,18572,8.5%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Tear of the Goddess,C,4.72,-0.01,9.9%,8139,3.7%,Milio | Karma | Bard | Nunu & Willump | Maokai
Giant's Belt,C,4.84,-0.01,10.1%,11110,5.1%,Illaoi | The Mighty Mech | Maokai | Nunu & Willump | Tahm Kench
Negatron Cloak,C,4.78,-0.01,9.9%,8078,3.7%,The Mighty Mech | Illaoi | Mordekaiser | Maokai | Nunu & Willump
Chain Vest,C,4.79,-0.01,9.8%,8011,3.6%,The Mighty Mech | Illaoi | Mordekaiser | Maokai | Nunu & Willump
Needlessly Large Rod,C,4.83,-0.01,9.3%,8087,3.7%,Milio | Karma | Bard | Fizz | Blitzcrank
Sparring Gloves,C,4.81,-0.01,9.5%,6854,3.1%,Milio | Karma | Jhin | Riven | Urgot
Recurve Bow,C,4.86,-0.01,9.8%,9038,4.1%,Milio | Karma | Bard | Jhin | Kindred
B.F. Sword,C,4.91,-0.00,8.9%,7271,3.3%,Riven | Jhin | Urgot | Kai'Sa | Milio
Frying Pan,D,6.48,+0.00,0.0%,25,0.0%,Corki | Karma | Twisted Fate | Bard | Milio
Spatula,D,5.27,+0.13,10.2%,354,0.2%,Riven | Karma | Milio | Bard | Lissandra
