Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.35,14.4%,259787,42.7%,Vex | Master Yi | Jhin | Bard | Graves
Sterak's Gage,B,4.12,-0.15,15.1%,102553,16.9%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Hand Of Justice,B,3.93,-0.15,15.5%,83573,13.8%,Blitzcrank | Fiora | Riven | Urgot | Pyke
Edge of Night,B,4.22,-0.14,13.4%,111710,18.4%,Master Yi | Fiora | Pyke | Riven | Zed
Bloodthirster,B,4.22,-0.14,14.1%,108057,17.8%,Riven | Fiora | Blitzcrank | Diana | Jax
Steadfast Heart,B,4.00,-0.14,15.1%,82302,13.5%,Tahm Kench | Ornn | Nunu & Willump | Rammus | Maokai
Nashor's Tooth,B,4.28,-0.13,13.8%,111478,18.3%,Nami | Lulu | Lissandra | Karma | Bard
Dragon's Claw,B,4.17,-0.12,13.7%,89060,14.7%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Quicksilver,B,4.23,-0.11,14.7%,86613,14.3%,Master Yi | Graves | Fiora | Urgot | Riven
Hextech Gunblade,B,4.03,-0.11,16.5%,68052,11.2%,Vex | Bard | Blitzcrank | Jhin | LeBlanc
Kraken's Fury,B,4.33,-0.10,14.0%,94368,15.5%,Xayah | Kindred | Bel'Veth | Gnar | Jhin
Blue Buff,B,4.08,-0.10,15.2%,66910,11.0%,Sona | Karma | Bard | Nami | Corki
Ionic Spark,C,4.05,-0.10,15.9%,62559,10.3%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Archangel's Staff,C,3.96,-0.08,16.3%,46699,7.7%,Bard | Nami | Karma | Vex | Sona
Evenshroud,C,4.29,-0.08,12.4%,68375,11.3%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Ornn
Titan's Resolve,C,4.29,-0.07,13.4%,60043,9.9%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.70,-0.01,10.3%,22039,3.6%,Nunu & Willump | Blitzcrank | Karma | Bard | Sona
Needlessly Large Rod,C,4.81,-0.01,9.8%,22936,3.8%,Blitzcrank | Karma | Bard | Milio | Nami
Chain Vest,C,4.81,-0.01,9.7%,22567,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Negatron Cloak,C,4.81,-0.01,9.9%,21830,3.6%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Tahm Kench
Giant's Belt,C,4.90,-0.01,9.5%,29780,4.9%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Sparring Gloves,C,4.86,-0.00,9.1%,18917,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.92,-0.00,9.2%,25479,4.2%,Jhin | Karma | Milio | Nami | Sona
Frying Pan,D,5.74,+0.00,9.7%,103,0.0%,Blitzcrank | Karma | Maokai | Urgot | Milio
B.F. Sword,D,5.04,+0.00,8.6%,21282,3.5%,Jhin | Riven | Samira | Fiora | Urgot
Spatula,D,5.68,+0.21,6.7%,1003,0.2%,Riven | Karma | Blitzcrank | Shen | Nami
