Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.33,14.2%,1499963,40.2%,Vex | LeBlanc | Bel'Veth | Jhin | Kindred
Rabadon's Deathcap,B,4.05,-0.17,15.4%,658678,17.6%,Twisted Fate | Aurelion Sol | Viktor | Nami | Vex
Bloodthirster,B,4.30,-0.16,14.7%,872158,23.4%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Crownguard,B,3.88,-0.16,16.8%,546019,14.6%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Illaoi
Hextech Gunblade,B,4.12,-0.15,15.4%,657878,17.6%,Vex | LeBlanc | Teemo | Jhin | Karma
Nashor's Tooth,B,4.31,-0.15,12.9%,794924,21.3%,Twisted Fate | Nami | Veigar | Karma | Fizz
Sterak's Gage,B,4.20,-0.15,16.3%,688428,18.4%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Bramble Vest,B,4.06,-0.15,14.4%,581883,15.6%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Archangel's Staff,B,4.22,-0.13,13.6%,635456,17.0%,Viktor | Aurelion Sol | Vex | Karma | Nami
Deathblade,B,4.10,-0.13,15.4%,550806,14.8%,Jhin | Corki | Xayah | Kindred | Graves
Red Buff,B,3.99,-0.12,16.9%,455312,12.2%,Xayah | Karma | Jhin | Vex | Nami
Morellonomicon,B,4.00,-0.12,16.4%,443306,11.9%,Karma | Bard | Nami | Blitzcrank | Morgana
Quicksilver,B,4.15,-0.11,14.7%,502076,13.5%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Kraken's Fury,B,4.23,-0.11,13.3%,550488,14.8%,Xayah | Bel'Veth | Kindred | Jhin | Caitlyn
Ionic Spark,B,4.05,-0.11,15.2%,440525,11.8%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | Rammus
Last Whisper,B,4.14,-0.10,16.2%,450526,12.1%,Jhin | Corki | Xayah | Samira | Kindred
Titan's Resolve,C,4.41,-0.09,14.0%,577869,15.5%,Riven | The Mighty Mech | Fiora | Master Yi | Blitzcrank
Evenshroud,C,4.32,-0.09,14.4%,493192,13.2%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
Blue Buff,C,4.22,-0.09,14.2%,427339,11.5%,Karma | Kai'Sa | Bard | Corki | Nami
Tear of the Goddess,C,4.70,-0.01,10.6%,145325,3.9%,Bard | Karma | Nunu & Willump | Morgana | Blitzcrank
Chain Vest,C,4.77,-0.01,10.3%,145001,3.9%,Nunu & Willump | Tahm Kench | Rammus | Mordekaiser | Illaoi
Negatron Cloak,C,4.78,-0.01,10.2%,147091,3.9%,Illaoi | Nunu & Willump | Mordekaiser | Tahm Kench | Rammus
Giant's Belt,C,4.84,-0.01,10.0%,190831,5.1%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Mordekaiser
Needlessly Large Rod,C,4.81,-0.01,10.0%,146232,3.9%,Karma | Bard | Blitzcrank | Lissandra | Morgana
Recurve Bow,C,4.84,-0.01,9.8%,156506,4.2%,Karma | Bard | Lissandra | Jhin | Kindred
Sparring Gloves,C,4.82,-0.01,9.5%,126391,3.4%,Karma | Blitzcrank | Jhin | Bard | Fiora
B.F. Sword,C,4.90,-0.00,9.3%,137768,3.7%,Jhin | Pyke | Fiora | Riven | Caitlyn
Frying Pan,D,5.63,+0.00,5.9%,945,0.0%,Rhaast | Meepsie | Karma | Mordekaiser | Ornn
Spatula,D,5.99,+0.26,4.6%,4518,0.1%,Riven | Karma | Lissandra | Blitzcrank | Bard
