Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.35,14.4%,162723,44.8%,Vex | Master Yi | Jhin | Graves | Bard
Rabadon's Deathcap,B,4.06,-0.18,16.3%,71258,19.6%,Bard | Vex | Aurelion Sol | Blitzcrank | Karma
Last Whisper,B,4.20,-0.17,12.7%,79406,21.9%,Corki | Jhin | Kindred | Samira | Graves
Morellonomicon,B,4.22,-0.17,14.2%,78277,21.6%,Karma | Bard | Sona | Milio | Blitzcrank
Sterak's Gage,B,4.10,-0.17,15.1%,67305,18.5%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Edge of Night,B,4.19,-0.16,13.8%,72842,20.1%,Master Yi | Fiora | Pyke | Riven | Zed
Bramble Vest,B,3.94,-0.16,15.3%,54303,15.0%,Tahm Kench | Nunu & Willump | Rammus | Ornn | Maokai
Hand Of Justice,B,3.95,-0.15,15.3%,52896,14.6%,Blitzcrank | Fiora | Riven | Graves | Pyke
Bloodthirster,B,4.19,-0.15,14.1%,68789,18.9%,Riven | Fiora | Blitzcrank | Diana | Graves
Steadfast Heart,B,3.99,-0.14,15.2%,49641,13.7%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Rammus
Dragon's Claw,B,4.16,-0.13,13.7%,54221,14.9%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Illaoi
Nashor's Tooth,B,4.27,-0.12,13.6%,61898,17.0%,Nami | Lulu | Lissandra | Karma | Bard
Quicksilver,B,4.22,-0.12,15.3%,57018,15.7%,Graves | Master Yi | Fiora | Urgot | Riven
Hextech Gunblade,B,4.06,-0.11,16.4%,42967,11.8%,Vex | Bard | Jhin | Blitzcrank | LeBlanc
Kraken's Fury,B,4.34,-0.11,14.2%,60384,16.6%,Xayah | Kindred | Bel'Veth | Graves | Jhin
Blue Buff,C,4.10,-0.10,15.1%,39034,10.7%,Sona | Karma | Bard | Corki | Milio
Ionic Spark,C,4.08,-0.10,15.6%,37698,10.4%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | The Mighty Mech
Evenshroud,C,4.27,-0.08,12.6%,41510,11.4%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.23,-0.08,13.9%,39130,10.8%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,4.00,-0.08,15.9%,27308,7.5%,Bard | Vex | Karma | Sona | Aurelion Sol
Tear of the Goddess,C,4.73,-0.01,9.7%,13185,3.6%,Nunu & Willump | Karma | Blitzcrank | Bard | Maokai
Giant's Belt,C,4.85,-0.01,10.1%,18103,5.0%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Negatron Cloak,C,4.82,-0.01,9.6%,12615,3.5%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Tahm Kench
Chain Vest,C,4.83,-0.01,9.8%,13424,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Needlessly Large Rod,C,4.85,-0.01,9.4%,13470,3.7%,Blitzcrank | Karma | Milio | Bard | Sona
Recurve Bow,C,4.91,-0.00,9.2%,14830,4.1%,Karma | Jhin | Milio | Sona | Bard
Sparring Gloves,C,4.90,-0.00,9.1%,11299,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Frying Pan,D,5.84,+0.00,10.5%,57,0.0%,Urgot | Rhaast | Karma | Blitzcrank | Illaoi
B.F. Sword,D,5.03,+0.00,8.6%,12713,3.5%,Jhin | Riven | Fiora | Graves | Karma
Spatula,D,5.39,+0.15,6.8%,511,0.1%,Riven | Karma | Blitzcrank | Bard | Rhaast
