Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,175308,49.7%,Master Yi | Corki | Kindred | Teemo | Jhin
Void Staff,B,4.18,-0.16,15.5%,67852,19.3%,Karma | Zoe | Bard | Lissandra | Milio
Rabadon's Deathcap,B,4.08,-0.15,15.9%,58683,16.6%,Karma | Twisted Fate | Teemo | Milio | Bard
Steadfast Heart,B,3.97,-0.15,15.9%,50380,14.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Morellonomicon,B,4.18,-0.15,14.8%,62501,17.7%,Karma | Milio | Bard | Zoe | Lissandra
Blue Buff,B,4.24,-0.14,14.2%,62780,17.8%,Kai'Sa | Corki | Karma | Bard | Milio
Hextech Gunblade,B,4.08,-0.13,15.4%,51387,14.6%,Teemo | Vex | Kindred | Riven | LeBlanc
Titan's Resolve,B,4.25,-0.12,13.0%,54616,15.5%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Nashor's Tooth,B,4.40,-0.11,13.6%,66966,19.0%,Lulu | Twisted Fate | Karma | Milio | Nami
Kraken's Fury,B,4.13,-0.11,14.6%,44650,12.7%,Kindred | Bel'Veth | Xayah | Caitlyn | Jhin
Dragon's Claw,C,4.24,-0.10,13.4%,45369,12.9%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Ionic Spark,C,4.19,-0.07,15.3%,31966,9.1%,Illaoi | Nunu & Willump | Blitzcrank | Maokai | Tahm Kench
Archangel's Staff,C,4.13,-0.07,15.4%,29737,8.4%,Karma | Milio | Bard | Aurelion Sol | Twisted Fate
Tear of the Goddess,C,4.78,-0.01,9.8%,12878,3.7%,Karma | Milio | Maokai | Bard | Nunu & Willump
Chain Vest,C,4.83,-0.01,9.5%,11687,3.3%,Maokai | The Mighty Mech | Mordekaiser | Illaoi | Tahm Kench
Negatron Cloak,C,4.86,-0.00,9.3%,12537,3.6%,Maokai | The Mighty Mech | Mordekaiser | Illaoi | Tahm Kench
Needlessly Large Rod,C,4.87,-0.00,9.0%,13008,3.7%,Milio | Karma | Bard | Fizz | Lissandra
Sparring Gloves,C,4.87,-0.00,9.0%,10783,3.1%,Milio | Kai'Sa | Jhin | Urgot | Karma
Giant's Belt,C,4.92,-0.00,9.6%,16105,4.6%,Maokai | Tahm Kench | Illaoi | The Mighty Mech | Mordekaiser
Recurve Bow,C,4.92,-0.00,9.1%,14673,4.2%,Milio | Kindred | Karma | Jhin | Urgot
B.F. Sword,C,4.95,-0.00,9.1%,11525,3.3%,Jhin | Riven | Kai'Sa | Urgot | Kindred
Frying Pan,D,6.37,+0.00,0.0%,49,0.0%,Riven | Kindred | Lissandra | Twisted Fate | Bel'Veth
Spatula,D,5.67,+0.21,6.4%,545,0.2%,Riven | Karma | Milio | Kindred | Kai'Sa
