Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.1%,263551,49.6%,Master Yi | Aurelion Sol | Corki | Vex | Jhin
Steadfast Heart,B,3.98,-0.14,15.4%,73597,13.9%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Dragon's Claw,B,4.20,-0.14,13.5%,92594,17.4%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Evenshroud,B,4.27,-0.12,13.9%,87216,16.4%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.17,-0.12,14.3%,76046,14.3%,Karma | Corki | Kai'Sa | Bard | Sona
Quicksilver,B,4.19,-0.12,15.1%,77840,14.7%,Master Yi | Riven | Fiora | Graves | Urgot
Nashor's Tooth,B,4.35,-0.11,13.9%,90951,17.1%,Lulu | Karma | Nami | Lissandra | Twisted Fate
Hextech Gunblade,B,4.07,-0.11,16.4%,63066,11.9%,Vex | Karma | Bard | LeBlanc | Riven
Ionic Spark,C,4.15,-0.09,15.5%,57392,10.8%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.05,-0.09,15.8%,49346,9.3%,Aurelion Sol | Karma | Bard | Milio | Vex
Titan's Resolve,C,4.31,-0.08,13.8%,63291,11.9%,Riven | Diana | Fiora | Briar | Jax
Kraken's Fury,C,4.18,-0.07,14.7%,43830,8.3%,Kindred | Xayah | Bel'Veth | Jhin | Graves
Tear of the Goddess,C,4.71,-0.01,10.2%,19698,3.7%,Karma | Milio | Bard | Nunu & Willump | Sona
Negatron Cloak,C,4.75,-0.01,10.2%,19384,3.6%,The Mighty Mech | Illaoi | Mordekaiser | Nunu & Willump | Meepsie
Giant's Belt,C,4.84,-0.01,10.2%,26394,5.0%,Illaoi | The Mighty Mech | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.79,-0.01,10.0%,19519,3.7%,The Mighty Mech | Illaoi | Mordekaiser | Nunu & Willump | Maokai
Recurve Bow,C,4.83,-0.01,9.4%,22331,4.2%,Milio | Karma | Bard | Sona | Jhin
Needlessly Large Rod,C,4.84,-0.01,9.4%,19792,3.7%,Milio | Karma | Bard | Blitzcrank | Fizz
Sparring Gloves,C,4.81,-0.01,9.4%,16567,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
B.F. Sword,C,4.95,-0.00,8.7%,18076,3.4%,Riven | Jhin | Karma | Kai'Sa | Milio
Frying Pan,D,5.83,+0.00,1.4%,70,0.0%,Karma | Bard | Maokai | Milio | Riven
Spatula,D,5.46,+0.16,7.4%,819,0.2%,Karma | Riven | Milio | Kai'Sa | Bard
