Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.39,14.0%,109092,49.4%,Master Yi | Kindred | Jhin | Bel'Veth | Vex
Dragon's Claw,C,4.32,-0.10,13.1%,32186,14.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Archangel's Staff,C,4.16,-0.08,14.7%,21560,9.8%,Karma | Viktor | Aurelion Sol | Bard | Aurora
Ionic Spark,C,4.21,-0.08,14.6%,21508,9.7%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Maokai
Tear of the Goddess,C,4.77,-0.01,9.7%,7709,3.5%,Karma | Bard | Nunu & Willump | Maokai | Milio
Negatron Cloak,C,4.82,-0.01,9.6%,7771,3.5%,Illaoi | Maokai | Mordekaiser | Nunu & Willump | Tahm Kench
Giant's Belt,C,4.89,-0.01,9.6%,10160,4.6%,Maokai | Illaoi | Tahm Kench | Nunu & Willump | Mordekaiser
Chain Vest,C,4.84,-0.01,9.5%,7130,3.2%,Maokai | Illaoi | Mordekaiser | Tahm Kench | Nunu & Willump
Recurve Bow,C,4.88,-0.00,9.4%,8642,3.9%,Karma | Kindred | Jhin | Milio | Kai'Sa
Sparring Gloves,C,4.85,-0.00,8.9%,6419,2.9%,Jhin | Karma | Kai'Sa | Milio | Kindred
Needlessly Large Rod,C,4.89,-0.00,9.1%,7943,3.6%,Karma | Milio | Bard | Lissandra | Kindred
B.F. Sword,C,4.97,-0.00,8.8%,6876,3.1%,Jhin | Riven | Kai'Sa | Kindred | Urgot
Frying Pan,D,6.38,+0.00,5.9%,34,0.0%,Karma | Kindred | Lissandra | Riven | Jax
Spatula,D,5.71,+0.21,6.6%,335,0.2%,Riven | Karma | Kindred | Urgot | Lissandra
