Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.3%,289264,47.0%,Vex | Master Yi | Jhin | Corki | Graves
Hand Of Justice,B,3.92,-0.15,15.8%,87196,14.2%,Riven | Fiora | Blitzcrank | Graves | Gragas
Steadfast Heart,B,3.95,-0.14,15.4%,81618,13.3%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.16,-0.12,13.7%,88342,14.3%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Quicksilver,B,4.23,-0.12,14.9%,95664,15.5%,Master Yi | Graves | Fiora | Riven | Urgot
Hextech Gunblade,B,4.05,-0.11,17.2%,70630,11.5%,Vex | Bard | Karma | Jhin | Riven
Blue Buff,B,4.10,-0.11,14.6%,72519,11.8%,Karma | Corki | Bard | Sona | Milio
Kraken's Fury,B,4.31,-0.10,14.9%,93551,15.2%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Nashor's Tooth,B,4.31,-0.10,13.9%,92077,15.0%,Lulu | Lissandra | Karma | Nami | Bard
Ionic Spark,C,4.08,-0.09,15.7%,59983,9.7%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | The Mighty Mech
Evenshroud,C,4.30,-0.09,12.4%,75907,12.3%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.27,-0.08,13.6%,69363,11.3%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,3.97,-0.08,16.4%,45064,7.3%,Bard | Karma | Vex | Aurelion Sol | Milio
Tear of the Goddess,C,4.72,-0.01,9.6%,22202,3.6%,Milio | Nunu & Willump | Karma | Bard | Blitzcrank
Chain Vest,C,4.80,-0.01,9.8%,22043,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Negatron Cloak,C,4.80,-0.01,9.7%,22044,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Giant's Belt,C,4.87,-0.01,10.0%,30966,5.0%,Nunu & Willump | Illaoi | The Mighty Mech | Maokai | Tahm Kench
Needlessly Large Rod,C,4.84,-0.01,9.2%,22943,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.83,-0.01,9.6%,19358,3.1%,Milio | Blitzcrank | Jhin | Karma | Bard
Recurve Bow,C,4.92,-0.00,8.8%,25491,4.1%,Milio | Karma | Jhin | Bard | Sona
Frying Pan,D,5.74,+0.00,4.8%,84,0.0%,Rhaast | Corki | Meepsie | Blitzcrank | Maokai
B.F. Sword,D,5.01,+0.00,8.6%,21448,3.5%,Jhin | Riven | Fiora | Kai'Sa | Graves
Spatula,D,5.39,+0.15,8.7%,908,0.1%,Karma | Riven | Milio | Rhaast | Kai'Sa
