Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.5%,282810,47.1%,Vex | Master Yi | Jhin | Graves | Bard
Evenshroud,C,4.30,-0.08,11.9%,65378,10.9%,Tahm Kench | Maokai | Nunu & Willump | Rammus | The Mighty Mech
Tear of the Goddess,C,4.74,-0.01,9.8%,21161,3.5%,Nunu & Willump | Karma | Bard | Blitzcrank | Maokai
Negatron Cloak,C,4.79,-0.01,10.2%,21103,3.5%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Mordekaiser
Giant's Belt,C,4.86,-0.01,10.0%,30189,5.0%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Chain Vest,C,4.82,-0.01,9.8%,21855,3.6%,Nunu & Willump | Illaoi | Maokai | The Mighty Mech | Mordekaiser
Needlessly Large Rod,C,4.85,-0.01,9.6%,21415,3.6%,Blitzcrank | Karma | Bard | Milio | Sona
Sparring Gloves,C,4.87,-0.00,9.1%,18345,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.93,-0.00,9.1%,24659,4.1%,Karma | Jhin | Milio | Sona | Bard
Frying Pan,D,5.68,+0.00,5.4%,93,0.0%,Maokai | Rhaast | Karma | Blitzcrank | Urgot
B.F. Sword,D,5.04,+0.00,8.2%,20650,3.4%,Jhin | Fiora | Graves | Riven | Karma
Spatula,D,5.24,+0.12,8.3%,879,0.1%,Karma | Blitzcrank | Riven | Rhaast | Sona
